Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2025-01-27 11:49:26.889,,,,"Transaction ID: 43113272-658d-409d-bbd9-18865d58a5e5",3cad2bde-75bb-4c00-8e36-73218ff4a882,,,,,,,500.00,"GBP",,
Market buy,2025-01-27 11:50:02.221,IE000X9FTI22,HIWS,"HSBC MSCI World Islamic ESG",,EOF27253370262,9.8960860000,20.21,GBP,1.00000000,,"GBP",200.00,"GBP",,
Market buy,2025-01-27 11:50:02.567,XS2545629631,HLAL,"Wahed FTSE USA Shariah (Acc)",,EOF27253370267,11.9851383400,1251.55,GBX,100.00000000,,"GBP",150.00,"GBP",,
Market buy,2025-01-27 14:30:01.876,US21037T1097,CEG,"Constellation Energy",,EOF27255650099,0.0086931000,293.00,USD,1.24856779,,"GBP",2.04,"GBP",,
Market buy,2025-01-27 14:30:01.876,US5951121038,MU,"Micron Technology",,EOF27255650096,0.0961270000,94.95,USD,1.25030940,,"GBP",7.31,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:01.876,US4581401001,INTC,"Intel",,EOF27255650093,0.1306090000,20.84,USD,1.24857411,,"GBP",2.18,"GBP",,
Market buy,2025-01-27 14:30:03.968,US48203R1041,JNPR,"Juniper Networks",,EOF27255653765,0.0566200000,39.03,USD,1.24851898,,"GBP",1.77,"GBP",,
Market buy,2025-01-27 14:30:03.969,US3434121022,FLR,"Fluor",,EOF27255654472,0.0490300000,53.22,USD,1.24850555,,"GBP",2.09,"GBP",,
Market buy,2025-01-27 14:30:03.969,US46982L1089,J,"Jacobs Solutions",,EOF27255654481,0.0156507000,142.00,USD,1.24853898,,"GBP",1.78,"GBP",,
Market buy,2025-01-27 14:30:03.969,US2538681030,DLR,"Digital Realty Trust",,EOF27255654478,0.0299021000,166.60,USD,1.25168086,,"GBP",3.99,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:06.633,US17275R1023,CSCO,"Cisco Systems",,EOF27255656192,0.0642670000,61.39,USD,1.24852883,,"GBP",3.16,"GBP",,
Market buy,2025-01-27 14:30:06.633,IE00BY7QL619,JCI,"Johnson Controls International",,EOF27255656189,0.0268370000,80.02,USD,1.24854461,,"GBP",1.72,"GBP",,
Market buy,2025-01-27 14:30:06.633,US14448C1045,CARR,"Carrier Global",,EOF27255656195,0.0291560000,68.08,USD,1.24839023,,"GBP",1.59,"GBP",,
Market buy,2025-01-27 14:30:07.656,US5738741041,MRVL,"Marvell Technology",,EOF27255661559,0.1410219000,107.83,USD,1.25052561,,"GBP",12.18,"GBP",0.02,"GBP"
Market buy,2025-01-27 14:30:07.656,US0079031078,AMD,"Advanced Micro Devices",,EOF27255661568,0.0581431000,117.89,USD,1.25081935,,"GBP",5.49,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:07.656,US9291601097,VMC,"Vulcan Materials",,EOF27255661565,0.0075656000,278.88,USD,1.24845830,,"GBP",1.69,"GBP",,
Market buy,2025-01-27 14:30:07.656,US46284V1017,IRM,"Iron Mountain",,EOF27255661562,0.0222430000,109.45,USD,1.24845966,,"GBP",1.95,"GBP",,
Market buy,2025-01-27 14:30:08.862,US29444U7000,EQIX,"Equinix",,EOF27255665841,0.0051365000,931.02,USD,1.25188068,,"GBP",3.83,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:08.862,US5949181045,MSFT,"Microsoft",,EOF27255665838,0.0067651000,424.50,USD,1.24860215,,"GBP",2.30,"GBP",,
Market buy,2025-01-27 14:30:08.862,US1491231015,CAT,"Caterpillar",,EOF27255665755,0.0055389000,398.96,USD,1.24847431,,"GBP",1.77,"GBP",,
Market buy,2025-01-27 14:30:08.862,US67066G1040,NVDA,"Nvidia",,EOF27255665780,0.0403116000,124.81,USD,1.25156487,,"GBP",4.03,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:08.862,US11135F1012,AVGO,"Broadcom",,EOF27255665777,0.0540996000,212.31,USD,1.24982438,,"GBP",9.20,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:14.073,US0420682058,ARM,"ARM",,EOF27255671810,0.0332966000,150.00,USD,1.25175187,,"GBP",4.00,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:14.073,US00766T1007,ACM,"AECOM",,EOF27255671814,0.0195701000,109.10,USD,1.24859526,,"GBP",1.71,"GBP",,
Market buy,2025-01-27 14:30:20.634,US02156V1098,OKLO,"Oklo",,EOF27255683233,1.9135850000,32.63,USD,1.25055634,,"GBP",50.00,"GBP",0.07,"GBP"
Market buy,2025-01-27 14:30:37.014,US42824C1099,HPE,"Hewlett Packard Enterprise",,EOF27255683945,0.1979500000,23.47,USD,1.25226051,,"GBP",3.72,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:30:53.006,IE00B8KQN827,ETN,"Eaton",,EOF27255684604,0.0041690000,326.48,USD,1.24871111,,"GBP",1.09,"GBP",,
Market buy,2025-01-27 14:31:12.935,US1717793095,CIEN,"Ciena",,EOF27255686081,0.0405050000,85.39,USD,1.24863608,,"GBP",2.77,"GBP",,
Market buy,2025-01-27 14:31:45.386,US0404132054,ANET,"Arista Networks",,EOF27255687258,0.0520103000,110.48,USD,1.25187319,,"GBP",4.60,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:32:07.185,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",,EOF27255688211,0.0501565000,198.01,USD,1.25081719,,"GBP",7.95,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:32:49.072,US92537N1081,VRT,"Vertiv",,EOF27255689835,0.0241808000,117.25,USD,1.24898625,,"GBP",2.27,"GBP",,
Market buy,2025-01-27 14:33:19.76,US24703L2025,DELL,"Dell Technologies",,EOF27255690837,0.0433074000,107.00,USD,1.25240318,,"GBP",3.71,"GBP",0.01,"GBP"
Market buy,2025-01-27 14:35:02.779,US68389X1054,ORCL,"Oracle",,EOF27255694277,0.0516202000,170.10,USD,1.25079715,,"GBP",7.03,"GBP",0.01,"GBP"
Market sell,2025-02-13 14:35:17.298,US17275R1023,CSCO,"Cisco Systems",,EOF28100338827,0.4715820000,66.30,USD,1.24664619,1.62,"GBP",25.04,"GBP",0.04,"GBP"
Market sell,2025-02-13 14:35:55.395,IE00BY7QL619,JCI,"Johnson Controls International",,EOF28100341581,0.0806050000,88.62,USD,1.24663439,0.41,"GBP",5.72,"GBP",0.01,"GBP"
Market sell,2025-02-13 15:15:41.409,US4581401001,INTC,"Intel",,EOF28102766106,0.9148300000,24.32,USD,1.25062763,1.96,"GBP",17.76,"GBP",0.03,"GBP"
Market sell,2025-02-13 19:36:45.773,US0420682058,ARM,"ARM",,EOF28104865916,0.1518942000,163.00,USD,1.25424288,0.01,"GBP",19.71,"GBP",0.03,"GBP"
Market buy,2025-02-14 17:36:05.419,US02156V1098,OKLO,"Oklo",,EOF28153589840,1.6413160000,52.32,USD,1.26043817,,"GBP",68.23,"GBP",0.10,"GBP"
